ID,Tipo,Prioridad,Estado,Sprint,Nombre,Descripcion,Criterio de aceptacion,Evidencia
PB-01,Historia,Alta,Hecho,Sprint 1,Configurar repositorio y entorno,"Como equipo quiero una estructura base del proyecto para trabajar de forma organizada.","Repositorio con carpetas ai, backend, frontend, docs y guia de inicio.","README.md; docs/GUIA_DE_INICIO.md"
PB-02,Historia,Alta,Hecho,Sprint 1,Construir dataset inicial,"Como usuario quiero que el sistema tenga imagenes de senas para poder entrenar modelos.","Dataset organizado por clases y muestras validas.","docs/dataset.md; datasets/"
PB-03,Historia,Alta,Hecho,Sprint 1,Convertir videos en frames,"Como equipo quiero transformar videos de senas en imagenes para alimentar el entrenamiento.","Videos convertidos en frames por carpeta de clase.","datasets/dynamic_signs/"
PB-04,Historia,Alta,Hecho,Sprint 2,Entrenar modelo de reconocimiento,"Como usuario quiero que la app reconozca senas usando IA.","Modelo entrenado y exportado a TensorFlow Lite.","ai/models/modelo_dinamico_metadata.json"
PB-05,Historia,Alta,Hecho,Sprint 2,Integrar modelo en Android,"Como usuario quiero usar la camara del celular para traducir senas.","APK carga modelo .tflite y labels desde assets.","frontend/android/app/src/main/assets/"
PB-06,Bug,Alta,Hecho,Sprint 2,Evitar letras o senas aleatorias,"Como usuario quiero que la app no invente predicciones cuando no esta segura.","Umbral de confianza, margen y clase desconocido implementados.","ai/scripts/usar_modelo_dinamico.py; DynamicRecognitionService.kt"
PB-07,Historia,Alta,Hecho,Sprint 3,Capturar dataset multicamara,"Como equipo quiero grabar con varias camaras para obtener mas angulos en menos tiempo.","Script multicamara guarda muestras separadas por camara.","ai/scripts/capturar_dataset_multicamara.py"
PB-08,Historia,Alta,Hecho,Sprint 3,Agregar clase desconocido,"Como usuario quiero que el sistema diga no reconocido si no hay una sena clara.","Clase DESCONOCIDO entrenada y usada en labels dinamicos.","frontend/android/app/src/main/assets/dynamic_labels.txt"
PB-09,Bug,Alta,Hecho,Sprint 3,Alinear app con script Python,"Como equipo quiero que Android procese la camara de forma similar al script.","Android usa luminancia YUV y ventana temporal mas cercana al entrenamiento.","DynamicRecognitionService.kt; MainActivity.kt"
PB-10,Historia,Media,Hecho,Sprint 3,Mejorar interfaz de traduccion,"Como usuario quiero una pantalla de camara clara, profesional y sin textos invasivos.","Interfaz con estados de reconocimiento y resultado sostenido.","frontend/android/app/src/main/res/layout/activity_main.xml"
PB-11,Historia,Media,Hecho,Sprint 3,Agregar terminos y condiciones,"Como usuario quiero aceptar terminos antes de usar la app.","Dialogo o flujo inicial de terminos integrado.","MainActivity.kt; strings.xml"
PB-12,Historia,Media,Hecho,Sprint 3,Agregar audio continuo,"Como usuario quiero activar o desactivar voz automatica para escuchar traducciones.","Boton de audio alterna reproduccion automatica.","MainActivity.kt"
PB-13,Prueba,Alta,Hecho,Sprint 2,Pruebas de carga con JMeter,"Como tester quiero validar endpoints HTTP simulados bajo concurrencia.","Plan JMeter ejecutado con GET y POST, reporte documentado.","docs/PRUEBAS_CARGA_JMETER.md; backend/jmeter/"
PB-14,Prueba,Alta,Hecho,Sprint 3,Evaluar precision del modelo,"Como tester quiero medir exactitud del reconocimiento con datos de prueba.","Reporte de clasificacion y matriz de confusion generados.","ai/models/reporte_clasificacion_dinamico.txt"
PB-15,Documentacion,Media,Hecho,Sprint 3,Documentar tecnologia del modelo,"Como estudiante quiero explicar como funciona la IA del proyecto.","Documento tecnico con flujo de datos, entrenamiento y tecnologias.","docs/modelo-ia.md; docs/flujo-datos.md"
PB-16,Historia,Media,En progreso,Sprint 4,Mejorar precision por senas debiles,"Como usuario quiero que las senas con bajo recall se reconozcan mejor.","Mas muestras para acompanar, arriba, gracias y familias de senas confundidas.","Pendiente"
PB-17,Historia,Media,Pendiente,Sprint 4,Modo debug en Android,"Como equipo quiero ver top 3 predicciones, confianza y movimiento en la app.","Pantalla o log debug visible para comparar contra script Python.","Pendiente"
PB-18,Historia,Baja,Pendiente,Sprint 4,Explorar modelo con landmarks,"Como equipo quiero evaluar MediaPipe Hands o puntos de mano para mejorar robustez.","Prototipo experimental documentado sin romper app actual.","Pendiente"
PB-19,Documentacion,Alta,En progreso,Sprint 4,Preparar entrega final,"Como estudiante quiero presentar gestion, pruebas y avances del proyecto.","Tablero compartido, backlog, sprints y evidencias listos para revision.","docs/gestion-proyecto/"
PB-20,Prueba,Alta,Pendiente,Sprint 4,Prueba final en celular,"Como tester quiero validar el APK en el dispositivo real.","Lista de senas probadas, aciertos, errores y observaciones documentadas.","Pendiente"
