ID,Nombre,Tipo,Objetivo,Precondiciones,Datos de entrada,Pasos de ejecucion,Resultado esperado,Resultado obtenido,Estado,Evidencia,Responsable,Incidencia/Retorno
TC-EXP-001,Exploracion general de app movil,Exploratoria,Identificar fallos visibles en flujo principal,"APK instalado; permisos disponibles","Uso libre de app durante 10 minutos","Abrir app; aceptar terminos; activar camara; probar varias senas; cambiar camara; activar audio","No debe cerrarse inesperadamente; debe mostrar estados claros","Pendiente de evidencia final","Pendiente","Captura o video de sesion exploratoria",Diego,"Si falla crear bug y mover a To Do"
TC-FUN-001,Carga de modelo dinamico,Funcional,Verificar que la app cargue modelo y etiquetas,"APK instalado con assets","modelo_dinamico.tflite; dynamic_labels.txt","Abrir app; ingresar a traduccion; activar camara","No debe aparecer modelo pendiente; debe iniciar reconocimiento","Modelo integrado en assets y APK instalado","Aprobada","frontend/android/app/src/main/assets/; APK debug",Diego,"No aplica"
TC-FUN-002,Activacion de camara,Funcional,Validar que la app muestre vista de camara,"Permiso de camara concedido","Camara frontal o trasera","Abrir app; presionar iniciar traduccion","La vista de camara debe verse correctamente","Validado en dispositivo TECNO KG5k","Aprobada","Video o pantallazo por agregar",Diego,"Si falla revisar permisos/camera provider"
TC-FUN-003,Reconocimiento de sena dinamica,Funcional,Validar traduccion de una sena entrenada,"Modelo dinamico listo; buena iluminacion","Sena ABRAZAR o GRACIAS","Activar camara; hacer sena completa 2-3 segundos","La app muestra la sena si confianza y estabilidad son suficientes","En ajuste; algunas senas no coinciden con script","En Proceso","Video comparativo app vs script pendiente",Diego,"Si falla vuelve a To Do para depurar Android/modelo"
TC-FUN-004,Clase desconocido,Funcional,Evitar predicciones cuando no hay sena clara,"Modelo con clase DESCONOCIDO","Usuario quieto o movimientos aleatorios","Activar camara; no hacer sena; mover manos al azar","Debe mostrar no reconocido, baja confianza o no traducir","Clase DESCONOCIDO entrenada con F1 aprox 0.83","Aprobada","ai/models/reporte_clasificacion_dinamico.txt",Diego,"Si inventa senas crear bug"
TC-FUN-005,Audio automatico,Funcional,Validar reproduccion de traduccion por voz,"App abierta; audio del dispositivo activo","Resultado de sena reconocida","Activar boton de audio; hacer sena; desactivar audio","Al activar lee traducciones; al desactivar no reproduce","Funcion integrada","Aprobada","MainActivity.kt; video pendiente",Diego,"Si falla revisar VoiceOutputManager"
TC-USAB-001,Claridad de interfaz de camara,Usabilidad,Evaluar si textos y recuadro no bloquean la mano,"App instalada","Pantalla de traduccion","Usar app con camara; observar guia visual y estados","La interfaz debe ser clara y no tapar la sena","Interfaz mejorada; requiere evidencia visual","En Proceso","Pantallazo pendiente",Diego,"Si molesta crear tarea UX"
TC-ACC-001,Contraste y lectura de interfaz,Accesibilidad,Verificar legibilidad de textos y controles,"App instalada","Pantallas principales","Revisar textos, botones, estados y contraste visual","Textos legibles; controles identificables; estados comprensibles","Pendiente de medicion formal","Pendiente","Capturas con observaciones",Diego,"Si falla crear mejora UI"
TC-ACC-002,Descripcion de botones principales,Accesibilidad,Validar contentDescription en botones de acciones,"Codigo Android disponible","Botones camara, audio, navegacion","Inspeccionar UI/codigo; probar lector si esta disponible","Botones deben tener descripcion o texto equivalente","Botones de audio/camara tienen descripcion en codigo","Aprobada","MainActivity.kt",Diego,"Si falta descripcion crear bug accesibilidad"
TC-W3C-001,Validacion W3C de recursos web,Validacion W3C,Validar contenido web/reporte HTML aplicable,"Reporte JMeter HTML generado o documentacion exportada","HTML del reporte o pagina local","Abrir validador W3C o herramienta equivalente; cargar HTML","Sin errores criticos de estructura HTML","No aplica directamente a app Android; pendiente para reporte HTML si se exporta","Pendiente","Captura del validador W3C pendiente",Diego,"Si falla documentar errores y corregir HTML"
TC-DISP-001,Disponibilidad API health,Disponibilidad,Verificar que el servidor local responda,"Servidor local activo en 127.0.0.1:8080","GET /api/health","Ejecutar Invoke-RestMethod http://127.0.0.1:8080/api/health","Respuesta HTTP 200 con estado saludable","Endpoint incluido en JMeter","Aprobada","docs/PRUEBAS_CARGA_JMETER.md",Diego,"Si falla iniciar servidor o revisar puerto"
TC-LAT-001,Latencia endpoints API,Latencia y tiempos,Medir tiempo promedio de respuesta bajo carga,"Servidor local activo; JMeter configurado","Plan signvoice_load_test.jmx","Ejecutar prueba JMeter; revisar Summary Report","Promedio aceptable y errores bajos","Promedio total 554 ms; error total 0.13%","Aprobada","backend/jmeter/summary.csv; docs/PRUEBAS_CARGA_JMETER.md",Diego,"Si sube latencia crear tarea optimizacion"
